iteration,best_value
0,44.06241309394136
1,44.06241309394136
2,44.06805967181292
3,44.06805967181292
4,44.06805967181292
5,44.06805967181292
6,44.06805967181292
7,44.06805967181292
8,44.06805967181292
9,44.06805967181292
10,44.06805967181292
11,44.06805967181292
12,44.06805967181292
13,44.06805967181292
14,44.315310361855154
15,45.1925928062568
16,46.372120339012426
17,46.709731950477945
18,47.30328502281738
19,47.30328502281738
20,48.27602911508491
21,49.09200709756877
22,49.09200709756877
23,49.75609432388258
24,49.75609432388258
25,50.24524844310301
26,50.24524844310301
27,50.24524844310301
28,50.24524844310301
29,50.24524844310301
30,50.24524844310301
31,50.24524844310301
32,50.24524844310301
33,50.24524844310301
34,50.24524844310301
35,50.24524844310301
36,50.24524844310301
37,50.24524844310301
38,50.24524844310301
39,50.24524844310301
40,50.24524844310301
41,50.24524844310301
42,50.24524844310301
43,50.24524844310301
44,50.24524844310301
45,50.57777253942591
46,50.95137001977544
47,50.95137001977544
48,50.95137001977544
49,50.95137001977544
50,50.95137001977544
51,50.95137001977544
52,50.95137001977544
53,50.95137001977544
54,50.95137001977544
55,50.95137001977544
56,50.95137001977544
57,50.95137001977544
58,50.95137001977544
59,50.95137001977544
60,50.95137001977544
61,50.95137001977544
62,50.95137001977544
63,50.95137001977544
64,50.95137001977544
65,50.95137001977544
66,50.95137001977544
67,50.95137001977544
68,50.95137001977544
69,50.95137001977544
70,50.95137001977544
71,50.95137001977544
72,50.95137001977544
73,50.95137001977544
74,51.1874654789996
75,51.1874654789996
76,51.1874654789996
77,51.20760956884912
78,51.20760956884912
79,51.20760956884912
80,51.20760956884912
81,51.4371654831028
82,51.4371654831028
83,51.4371654831028
84,51.71287274764855
85,51.71287274764855
86,51.71287274764855
87,51.71287274764855
88,51.71287274764855
89,51.8872346346249
90,51.93233183463386
91,51.93233183463386
92,52.15615595099547
93,52.15615595099547
94,52.15615595099547
95,52.15615595099547
96,52.15615595099547
97,52.15615595099547
98,52.15615595099547
99,52.15615595099547
100,52.15615595099547
